station_code,total_schedule_rows,unique_trains_serving_station,outbound_routes,inbound_routes,route_connectivity,code,name,State,District,pc11_state_id,pc11_district_id,shrug_population,shrug_households,shrug_area,shrug_population_density,shrug_rail_dist,shrug_city_dist,shrug_city5_dist,population_density,schedule_index,train_index,route_connectivity_index,population_index,density_index,supply_index,demand_index,RAS
AA,22,22,0.0,0.0,0.0,AA,ATARIA,Uttar Pradesh,Sitapur,9.0,154.0,530784.0,87109.0,106.67,4975.9445017343205,0.0,4.0,4.0,4975.9445017343205,0.06752411575562701,0.0707070707070707,0.0,0.0554903731733,0.1863214721098725,0.05529247458507909,0.12090592264158624,0.3138080451092281
AAG,73,73,0.0,0.0,0.0,AAG,ANGAR,Maharashtra,Solapur,27.0,526.0,1399091.0,279607.0,363.09,3853.289817951472,0.0,35.0,38.0,3853.2898179514723,0.2315112540192926,0.24242424242424243,0.0,0.14840990420258712,0.14398527785433374,0.18957419857741403,0.14619759102846042,0.5645923941375013
AAH,8,8,0.0,0.0,0.0,AAH,ITEHAR,Madhya Pradesh,Bhind,23.0,420.0,432922.0,72562.0,227.04,1906.809372797745,0.0,0.0,22.0,1906.809372797745,0.022508038585209004,0.02356902356902357,0.0,0.0450179352618377,0.07058196387806984,0.01843082486169303,0.05779994956995377,0.2417766971293102
AAK,19,17,0.0,0.0,0.0,AAK,ANKAI KILA,Maharashtra,Nashik,27.0,516.0,2597373.0,545577.0,647.2099999999999,4013.184283308354,0.0,2.0,11.0,4013.1842833083547,0.05787781350482315,0.05387205387205387,0.0,0.2766408196286245,0.15001502435031314,0.044699946950750816,0.21332792198946882,0.17323689543437257
AAL,40,40,0.0,0.0,0.0,AAL,AMLAI,Madhya Pradesh,Shahdol,23.0,460.0,198923.0,41549.0,136.97,1452.3107249762722,0.0,55.0,170.0,1452.3107249762722,0.12540192926045016,0.13131313131313133,0.0,0.019977163574724552,0.053442461125350345,0.1026860242294326,0.03670981235003745,0.7366505826082613
AAM,14,14,0.0,0.0,0.0,AAM,Angadippuram,Kerala,Malappuram,32.0,592.0,1817211.0,345962.0,899.59,2020.043575406574,0.0,0.0,18.0,2020.043575406574,0.04180064308681672,0.04377104377104377,0.0,0.19315388797096114,0.07485211503609564,0.0342286747431442,0.1340030015035284,0.20346153296930725
AAP,185,185,0.0,0.0,0.0,AAP,AMBIAPUR,Uttar Pradesh,Kanpur Dehat,9.0,163.0,173423.0,30984.0,80.86200000000001,2144.6785882120157,0.0,20.0,20.0,2144.6785882120153,0.5916398713826366,0.6195286195286195,0.0,0.01724834987030109,0.07955219974548552,0.4844673963645025,0.04840027480789331,0.9091701797157167
AAR,8,8,0.0,0.0,0.0,AAR,ADESAR,Gujarat,Kachchh,24.0,468.0,728535.0,159671.0,292.06,2494.4703143189754,0.0,2.0,160.0,2494.4703143189754,0.022508038585209004,0.02356902356902357,0.0,0.07665216293265074,0.09274312183342909,0.01843082486169303,0.08469764238303992,0.17871714138788716
AAS,53,51,0.0,0.0,0.0,AAS,ASRANADA,Rajasthan,Jodhpur,8.0,113.0,1264614.0,234790.0,229.0,5522.331877729258,0.0,7.0,7.0,5522.331877729258,0.16720257234726688,0.16835016835016836,0.0,0.13401921084847915,0.2069261713313208,0.1342210962789741,0.17047269108989999,0.4405114309616062
AAY,34,34,0.0,0.0,0.0,AAY,ARALVAYMOZHI,Tamil Nadu,Kanniyakumari,33.0,629.0,1539802.0,398061.0,662.8399999999999,2323.037233721562,0.0,0.0,10.0,2323.037233721562,0.10610932475884244,0.1111111111111111,0.0,0.16346771224820006,0.0862782450491076,0.08688817434798143,0.12487297864865382,0.4103121517730026
AB,160,160,0.0,0.0,0.0,AB,AMBUR,Tamil Nadu,Vellore,33.0,605.0,1701987.0,392575.0,543.902,3129.2162926409533,0.0,0.0,70.0,3129.2162926409533,0.5112540192926045,0.5353535353535354,0.0,0.18082350246984394,0.11667989369155028,0.418643021858456,0.1487516980806971,0.7378338344483552
ABB,182,182,0.0,0.0,0.0,ABB,ABADA,West Bengal,Haora,19.0,341.0,3074144.0,669902.0,431.5093,7124.1662694176,0.0,1.0,3.0,7124.1662694176,0.5819935691318328,0.6094276094276094,0.0,0.32766118192947463,0.2673326105965203,0.4765684714237769,0.29749689626299747,0.6156695433203005
ABD,96,96,0.0,0.0,0.0,ABD,AMBLI ROAD,Gujarat,Ahmadabad,24.0,474.0,6007060.0,1269632.0,870.4899999999999,6900.780020448254,0.0,7.0,7.0,6900.780020448254,0.3054662379421222,0.31986531986531985,0.0,0.6415192750558604,0.25890853882538994,0.2501326231229768,0.45021390694062513,0.35715551142983604
ABE,6,6,0.0,0.0,0.0,ABE,Ambikeshwar,Madhya Pradesh,Morena,23.0,419.0,470462.0,78105.0,68.75,6843.083636363636,0.0,0.0,19.0,6843.083636363636,0.01607717041800643,0.016835016835016835,0.0,0.04903517708395757,0.25673276264083966,0.013164874901209307,0.1528839698623986,0.07928314659431215
ABEO,1,1,0.0,0.0,0.0,ABEO,Pattaravakkam,Tamil Nadu,Thiruvallur,33.0,602.0,2428395.0,615252.0,537.66,4516.599709853811,0.0,0.0,0.0,4516.599709853811,0.0,0.0,0.0,0.25855809483858266,0.1689992174395443,0.0,0.2137786561390635,0.0
ABFC,86,84,0.0,0.0,0.0,ABFC,AMBARI FALAKATA,West Bengal,Jalpaiguri,19.0,328.0,1060351.0,243311.0,366.98,2889.3972423565315,0.0,1.0,7.0,2889.3972423565315,0.2733118971061093,0.27946127946127947,0.0,0.11216055697763015,0.10763612801214395,0.2211092706269555,0.10989834249488706,0.6679884747713222
ABGT,49,49,0.0,0.0,0.0,ABGT,ARBAGATTA HALT,Karnataka,Chitradurga,29.0,566.0,329533.0,73334.0,137.97,2388.439515836776,0.0,2.0,164.0,2388.439515836776,0.15434083601286175,0.16161616161616163,0.0,0.03395404035647938,0.08874461673078565,0.12638279905160937,0.061349328543632516,0.6732081539292829
ABH,101,101,0.0,0.0,0.0,ABH,AMBARNATH,Maharashtra,Thane,27.0,517.0,8514678.0,1987566.0,1098.21,7753.232988226296,0.0,1.0,2.0,7753.232988226296,0.3215434083601286,0.3367003367003367,0.0,0.9098652501091525,0.29105521309566124,0.26329749802418617,0.6004602316024069,0.3048279500063184
ABI,64,64,0.0,0.0,0.0,ABI,AMBATURAI,Tamil Nadu,Dindigul,33.0,612.0,808040.0,209803.0,562.79,1435.7753336057856,0.0,0.0,28.0,1435.7753336057856,0.20257234726688103,0.21212121212121213,0.0,0.08516017601383455,0.05281889846510879,0.16587742375523729,0.06898953723947167,0.7062612086975237
ABKA,22,22,0.0,0.0,0.0,ABKA,AMBIKA KALNA,West Bengal,Barddhaman,19.0,335.0,3074424.0,658449.0,922.59,3332.3838324716285,0.0,0.0,7.0,3332.3838324716285,0.06752411575562701,0.0707070707070707,0.0,0.3276911453740722,0.12434150198209663,0.05529247458507909,0.2260163236780844,0.19655437343752452
ABKP,8,8,4.0,4.0,8.0,ABKP,AMBIKAPUR,Chhattisgarh,Surguja,22.0,401.0,242921.0,49582.0,154.32,1574.1381544841888,0.0,25.0,250.0,1574.1381544841888,0.022508038585209004,0.02356902356902357,0.030418250950570342,0.02468549084402743,0.05803666965251821,0.0245144750518071,0.04136108024827282,0.3721331067364431
ABLE,44,44,0.0,0.0,0.0,ABLE,AMBALE,Maharashtra,Pune,27.0,521.0,5751182.0,1371531.0,843.3100000000001,6819.772088555809,0.0,4.0,4.0,6819.772088555809,0.1382636655948553,0.1447811447811448,0.0,0.614137181210352,0.25585366577281254,0.11321792415040005,0.43499542349158227,0.20652164825497543
ABO,54,54,0.0,0.0,0.0,ABO,ASTHAL BOHAR,Haryana,Rohtak,6.0,82.0,446164.0,89538.0,105.98,4209.888658237403,0.0,4.0,55.0,4209.888658237403,0.17041800643086816,0.17845117845117844,0.0,0.04643499216669948,0.1574329015909352,0.13954767395281864,0.10193394687881735,0.5778811384163809
ABP,54,54,0.0,0.0,0.0,ABP,AKBARPUR,Uttar Pradesh,Ambedkar Nagar,9.0,178.0,280730.0,43693.0,92.9184,3021.253056445225,0.0,11.0,48.0,3021.253056445225,0.17041800643086816,0.17845117845117844,0.0,0.028731518975421415,0.1126085148374243,0.13954767395281864,0.07067001690642286,0.6638245971708328
ABR,60,60,0.0,0.0,0.0,ABR,ABU ROAD,Rajasthan,Sirohi,8.0,117.0,208654.0,42520.0,120.87,1726.2678911226938,0.0,51.0,75.0,1726.2678911226938,0.18971061093247588,0.19865319865319866,0.0,0.02101850028679297,0.06377360209969757,0.1553455238342698,0.04239605119324527,0.7855986977581927
ABS,25,25,1.0,1.0,2.0,ABS,ABOHAR,Punjab,Firozpur,3.0,43.0,552556.0,109027.0,138.58,3987.270890460384,0.0,5.0,65.0,3987.2708904603837,0.07717041800643087,0.08080808080808081,0.0076045627376425855,0.057820245015366964,0.1490378098521425,0.06471231207333321,0.10342902743375473,0.3848685413298095
ABSA,8,8,0.0,0.0,0.0,ABSA,Ambassa,Tripura,Dhalai,16.0,291.0,40499.0,10105.0,35.71,1134.1080929711566,2.0,80.0,480.0,1134.1080929711566,0.022508038585209004,0.02356902356902357,0.0,0.003023846621407597,0.04144278870978678,0.01843082486169303,0.022233317665597187,0.4532451372686359
ABU,131,131,0.0,0.0,0.0,ABU,AMBATTUR,Tamil Nadu,Thiruvallur,33.0,602.0,2428395.0,615252.0,537.66,4516.599709853811,0.0,0.0,0.0,4516.599709853811,0.4180064308681672,0.4377104377104377,0.0,0.25855809483858266,0.1689992174395443,0.34228674743144194,0.2137786561390635,0.6155512377386056
ABW,1,1,0.0,0.0,0.0,ABW,Abutara Halt,West Bengal,Koch Bihar,19.0,329.0,289434.0,69693.0,69.23,4180.759786219846,0.0,4.0,35.0,4180.759786219846,0.0,0.0,0.0,0.029662954053197955,0.15633442883524806,0.0,0.09299869144422301,0.0
ABX,14,14,0.0,0.0,0.0,ABX,AMBARI,Maharashtra,Nanded,27.0,511.0,913898.0,171093.0,241.31,3787.236335004766,0.0,5.0,5.0,3787.236335004766,0.04180064308681672,0.04377104377104377,0.0,0.09648828429316234,0.14149434887529644,0.0342286747431442,0.11899131658422939,0.22339561859137805
